lottery_draw_number,lottery_result_front_1,lottery_result_front_2,lottery_result_front_3,lottery_result_front_4,lottery_result_front_5,lottery_result_back_1,lottery_result_back_2,lottery_draw_date
24149,2,5,16,18,22,7,9,2024/12/23
24148,6,9,20,32,35,8,11,2024/12/21
24147,12,18,21,22,31,1,7,2024/12/18
24146,5,20,21,22,32,3,4,2024/12/16
24145,1,6,9,22,24,1,3,2024/12/14
24144,6,7,8,21,30,1,5,2024/12/11
24143,16,20,22,24,31,4,5,2024/12/9
24142,8,21,24,33,34,3,10,2024/12/7
24141,2,6,7,16,20,2,11,2024/12/4
24140,3,6,15,23,31,1,12,2024/12/2
24139,5,12,20,23,24,5,7,2024/11/30
24138,5,17,20,28,34,4,9,2024/11/27
24137,8,15,16,17,21,2,5,2024/11/25
24136,1,17,20,29,34,7,8,2024/11/23
24135,6,8,22,24,30,3,8,2024/11/20
24134,1,4,7,13,33,5,6,2024/11/18
24133,8,10,14,22,29,4,6,2024/11/16
24132,5,6,10,16,31,6,9,2024/11/13
24131,2,3,4,21,26,2,3,2024/11/11
24130,11,21,25,31,32,4,10,2024/11/9
24129,7,19,30,31,34,5,7,2024/11/6
24128,3,7,10,29,31,1,3,2024/11/4
24127,2,3,10,16,28,7,10,2024/11/2
24126,2,10,17,28,34,7,8,2024/10/30
24125,10,14,19,24,26,1,10,2024/10/28
24124,2,3,7,10,25,1,11,2024/10/26
24123,3,9,16,30,31,8,9,2024/10/23
24122,5,6,9,15,17,3,10,2024/10/21
24121,7,15,18,24,33,4,5,2024/10/19
24120,4,12,17,23,27,2,8,2024/10/16
24119,6,12,28,30,33,2,7,2024/10/14
24118,1,3,9,16,19,5,11,2024/10/12
24117,2,10,22,26,28,2,4,2024/10/9
24116,1,3,6,16,25,1,11,2024/10/7
24115,3,4,12,19,24,8,12,2024/10/5
24114,12,27,30,34,35,5,11,2024/9/30
24113,16,18,25,26,33,4,8,2024/9/28
24112,5,15,24,31,34,3,10,2024/9/25
24111,3,9,19,27,30,7,11,2024/9/23
24110,1,7,8,18,28,4,12,2024/9/21
24109,12,23,26,27,28,3,11,2024/9/18
24108,16,17,21,31,34,3,8,2024/9/16
24107,6,14,16,18,34,3,10,2024/9/14
24106,5,11,19,22,29,2,12,2024/9/11
24105,14,20,21,28,32,9,11,2024/9/9
24104,1,4,9,13,17,6,9,2024/9/7
24103,19,21,29,32,33,6,8,2024/9/4
24102,1,5,9,14,20,5,11,2024/9/2
24101,16,19,22,27,35,6,10,2024/8/31
24100,2,12,19,22,32,5,11,2024/8/28
24099,4,10,24,31,35,5,8,2024/8/26
24098,3,10,15,19,29,9,10,2024/8/24
24097,7,11,12,14,19,2,8,2024/8/21
24096,2,3,23,27,31,1,10,2024/8/19
24095,1,7,19,26,27,3,5,2024/8/17
24094,12,13,24,29,31,2,8,2024/8/14
24093,16,24,26,28,29,8,12,2024/8/12
24092,2,4,25,26,31,1,6,2024/8/10
24091,1,8,11,17,21,1,2,2024/8/7
24090,2,3,6,28,33,7,11,2024/8/5
24089,5,6,29,30,34,7,8,2024/8/3
24088,1,2,23,28,32,3,5,2024/7/31
24087,7,10,20,28,34,5,10,2024/7/29
24086,11,12,14,22,28,7,11,2024/7/27
24085,2,9,16,29,35,1,6,2024/7/24
24084,4,11,16,17,23,5,10,2024/7/22
24083,9,11,12,13,30,7,9,2024/7/20
24082,8,21,23,24,26,4,5,2024/7/17
24081,14,15,25,27,34,1,10,2024/7/15
24080,3,5,24,27,28,9,11,2024/7/13
24079,3,8,17,18,23,6,11,2024/7/10
24078,5,7,10,14,15,4,7,2024/7/8
24077,1,3,25,26,29,6,12,2024/7/6
24076,1,6,22,27,35,7,12,2024/7/3
24075,8,17,26,28,32,1,10,2024/7/1
24074,2,10,11,21,27,9,11,2024/6/29
24073,7,9,12,21,23,5,9,2024/6/26
24072,4,17,21,23,32,1,6,2024/6/24
24071,6,10,15,34,35,2,10,2024/6/22
24070,4,20,21,32,34,2,9,2024/6/19
24069,7,9,16,20,24,3,7,2024/6/17
24068,15,20,31,32,33,5,10,2024/6/15
24067,3,11,14,20,22,6,9,2024/6/12
24066,13,19,20,24,25,6,7,2024/6/10
24065,5,10,18,26,27,3,6,2024/6/8
24064,5,12,21,32,33,8,9,2024/6/5
24063,7,12,16,33,34,1,3,2024/6/3
24062,5,14,15,16,33,3,5,2024/6/1
24061,1,12,19,31,33,5,8,2024/5/29
24060,3,21,25,28,30,1,12,2024/5/27
24059,17,18,20,25,31,3,12,2024/5/25
24058,6,10,13,20,32,1,2,2024/5/22
24057,9,25,30,33,34,3,9,2024/5/20
24056,16,17,18,27,35,6,12,2024/5/18
24055,7,17,22,30,34,5,7,2024/5/15
24054,5,6,9,11,22,1,3,2024/5/13
24053,1,7,19,20,35,3,9,2024/5/11
24052,2,3,13,22,34,4,8,2024/5/8
24051,5,21,22,23,29,1,2,2024/5/6
24050,3,4,14,18,26,7,9,2024/5/4
24049,4,6,9,10,22,1,8,2024/5/1
24048,12,18,21,26,28,8,9,2024/4/29
24047,11,19,21,26,35,10,11,2024/4/27
24046,6,12,17,29,30,7,11,2024/4/24
24045,9,10,14,31,32,3,8,2024/4/22
24044,3,13,15,17,22,6,10,2024/4/20
24043,3,4,8,14,27,5,7,2024/4/17
24042,1,8,15,23,35,5,12,2024/4/15
24041,6,8,14,16,28,3,5,2024/4/13
24040,5,12,16,29,30,3,6,2024/4/10
24039,3,10,11,20,22,6,10,2024/4/8
24038,15,22,24,25,29,1,5,2024/4/6
24037,17,19,20,29,35,7,11,2024/4/3
24036,2,5,11,32,34,6,10,2024/4/1
24035,5,13,17,29,33,5,12,2024/3/30
24034,23,26,27,29,33,5,8,2024/3/27
24033,4,8,10,11,15,7,9,2024/3/25
24032,5,15,26,33,35,1,9,2024/3/23
24031,9,12,15,30,34,5,6,2024/3/20
24030,8,9,11,19,30,6,12,2024/3/18
24029,4,19,24,28,34,4,5,2024/3/16
24028,13,18,20,26,28,4,8,2024/3/13
24027,8,9,16,22,23,7,9,2024/3/11
24026,1,18,21,26,33,2,12,2024/3/9
24025,1,2,8,18,27,4,8,2024/3/6
24024,3,5,12,17,26,1,12,2024/3/4
24023,8,10,12,14,22,5,9,2024/3/2
24022,7,9,11,31,32,4,8,2024/2/28
24021,1,12,16,20,28,7,9,2024/2/26
24020,2,4,8,19,26,2,6,2024/2/24
24019,19,20,26,29,30,3,4,2024/2/21
24018,4,12,19,25,27,1,9,2024/2/19
24017,3,7,25,27,35,1,4,2024/2/7
24016,15,18,25,27,29,6,11,2024/2/5
24015,8,11,14,24,31,5,6,2024/2/3
24014,4,5,16,21,31,9,11,2024/1/31
24013,5,22,25,28,30,3,12,2024/1/29
24012,21,22,25,26,34,1,9,2024/1/27
24011,1,3,27,32,34,1,7,2024/1/24
24010,2,8,10,15,27,2,8,2024/1/22
24009,15,18,19,24,26,5,9,2024/1/20
24008,4,6,11,20,30,3,5,2024/1/17
24007,4,5,28,34,35,4,11,2024/1/15
24006,8,13,16,17,33,2,10,2024/1/13
24005,3,5,7,9,12,5,8,2024/1/10
24004,2,6,18,19,27,8,9,2024/1/8
24003,7,9,12,23,29,1,2,2024/1/6
24002,1,6,8,27,32,3,4,2024/1/3
24001,3,9,17,26,35,2,7,2024/1/1
23138,7,12,20,28,31,9,10,2023/12/2
23137,4,19,21,30,31,6,12,2023/11/29
23136,13,23,27,30,34,6,9,2023/11/27
23135,5,18,22,28,29,9,12,2023/11/25
23134,10,15,22,27,33,1,12,2023/11/22
23133,10,18,25,28,33,5,11,2023/11/20
23132,3,4,12,15,23,2,6,2023/11/18
23131,3,7,21,22,24,6,7,2023/11/15
23130,13,20,27,29,30,1,7,2023/11/13
23129,9,23,25,27,33,6,12,2023/11/11
23128,1,5,7,12,13,2,6,2023/11/8
23127,4,7,8,18,19,2,6,2023/11/6
23126,7,12,17,26,34,2,6,2023/11/4
23125,7,25,26,29,32,2,8,2023/11/1
23124,6,18,23,27,32,6,10,2023/10/30
23123,2,14,16,28,30,2,7,2023/10/28
23122,1,7,9,25,29,10,12,2023/10/25
23121,5,11,15,23,33,1,9,2023/10/23
23120,2,8,16,31,34,1,10,2023/10/21
23119,4,8,10,14,21,4,10,2023/10/18
23118,6,7,13,25,33,5,8,2023/10/16
23117,5,7,15,18,20,3,4,2023/10/14
23116,1,3,9,18,29,4,9,2023/10/11
23115,7,10,23,31,34,2,10,2023/10/9
23114,2,25,27,30,35,1,10,2023/10/7
23113,6,8,30,32,33,3,10,2023/9/30
23112,1,11,17,22,27,2,9,2023/9/27
23111,3,12,15,28,35,2,12,2023/9/25
23110,4,9,11,13,17,7,8,2023/9/23
23109,1,12,21,22,31,2,9,2023/9/20
23108,5,6,17,30,32,2,8,2023/9/18
23107,1,12,15,16,18,3,10,2023/9/16
23106,16,24,26,28,31,1,6,2023/9/13
23105,7,8,19,20,25,2,11,2023/9/11
23104,6,15,16,32,33,8,10,2023/9/9
23103,8,11,19,31,32,8,11,2023/9/6
23102,2,4,7,16,33,7,11,2023/9/4
23101,6,14,16,17,28,7,10,2023/9/2
23100,4,6,13,19,35,9,11,2023/8/30
23099,9,11,13,22,23,6,7,2023/8/28
23098,2,7,15,30,34,5,9,2023/8/26
23097,6,7,18,20,22,3,9,2023/8/23
23096,6,7,14,21,31,3,10,2023/8/21
23095,8,19,28,32,34,3,7,2023/8/19
23094,12,19,22,28,32,8,12,2023/8/16
23093,11,14,17,19,21,1,5,2023/8/14
23092,3,16,21,26,32,3,12,2023/8/12
23091,6,16,18,28,29,7,11,2023/8/9
23090,8,11,12,19,35,11,12,2023/8/7
23089,3,12,20,26,35,2,12,2023/8/5
23088,8,14,16,22,24,9,12,2023/8/2
23087,3,4,16,19,24,4,5,2023/7/31
23086,3,11,15,20,35,7,11,2023/7/29
23085,11,12,26,31,35,5,7,2023/7/26
23084,3,5,8,24,32,7,8,2023/7/24
23083,13,15,21,25,32,9,10,2023/7/22
23082,2,8,9,15,20,3,9,2023/7/19
23081,5,6,23,28,35,7,10,2023/7/17
23080,1,2,9,16,30,1,11,2023/7/15
23079,6,8,26,29,34,5,8,2023/7/12
23078,2,3,6,26,27,7,8,2023/7/10
23077,5,16,18,26,35,3,6,2023/7/8
23076,8,9,11,26,34,2,7,2023/7/5
23075,7,17,20,23,32,5,11,2023/7/3
23074,3,13,22,29,34,2,9,2023/7/1
23073,15,25,28,30,35,8,10,2023/6/28
23072,5,6,9,11,14,2,4,2023/6/26
23071,2,11,12,32,34,10,12,2023/6/24
23070,10,26,29,32,33,3,11,2023/6/21
23069,8,20,21,25,32,5,7,2023/6/19
23068,21,22,24,27,31,7,8,2023/6/17
23067,2,28,30,33,35,2,10,2023/6/14
23066,6,11,13,30,32,1,3,2023/6/12
23065,8,14,16,21,25,3,12,2023/6/10
23064,2,6,9,31,32,3,7,2023/6/7
23063,4,18,29,31,34,6,9,2023/6/5
23062,6,8,22,24,30,1,8,2023/6/3
23061,7,11,21,30,32,5,7,2023/5/31
23060,2,7,19,24,30,9,12,2023/5/29
23059,9,13,23,25,28,4,7,2023/5/27
23058,19,22,29,32,35,5,8,2023/5/24
23057,1,5,6,19,24,5,11,2023/5/22
23056,13,22,24,33,34,1,2,2023/5/20
