lottery_draw_number,ds,lottery_result_front_2,lottery_result_front_3,lottery_result_front_4,lottery_result_front_5,lottery_result_back_1,lottery_result_back_2,lottery_draw_date
7001,22,24,29,31,35,4,11,2007/5/30
7002,15,22,31,34,35,5,12,2007/5/31
7003,3,4,18,23,32,1,6,2007/6/1
7004,6,10,16,17,25,2,4,2007/6/2
7005,1,9,19,20,30,2,11,2007/6/3
7006,1,16,20,23,28,3,6,2007/6/4
7007,14,16,25,26,35,4,9,2007/6/5
7008,2,8,11,21,23,4,7,2007/6/6
7009,1,3,9,19,34,9,12,2007/6/7
7010,6,8,18,29,34,9,11,2007/6/8
7011,29,32,33,34,35,9,10,2007/6/9
7012,3,12,15,29,34,7,11,2007/6/10
7013,12,17,27,29,34,6,9,2007/6/11
7014,1,2,7,29,32,6,7,2007/6/12
7015,2,8,12,13,17,11,12,2007/6/13
7016,1,14,19,24,31,3,12,2007/6/14
7017,13,14,29,32,34,3,12,2007/6/15
7018,3,4,16,23,28,6,9,2007/6/16
7019,3,6,17,22,23,4,6,2007/6/17
7020,2,6,11,12,18,5,12,2007/6/18
7021,2,4,24,29,33,1,2,2007/6/19
7022,8,10,12,23,25,3,10,2007/6/20
7023,8,10,23,32,34,8,10,2007/6/21
7024,6,16,20,25,31,4,9,2007/6/22
7025,22,24,26,27,34,2,10,2007/6/23
7026,5,9,13,33,35,1,8,2007/6/24
7027,2,3,10,19,27,6,10,2007/6/25
7028,20,26,30,34,35,3,10,2007/6/26
7029,15,22,25,29,35,9,11,2007/6/27
7030,11,14,27,33,35,2,7,2007/6/28
7031,3,21,27,31,32,6,8,2007/6/29
7032,1,13,21,23,32,4,11,2007/6/30
7033,1,5,8,14,22,3,12,2007/7/1
7034,6,8,11,13,22,2,11,2007/7/2
7035,7,11,16,31,32,1,12,2007/7/3
7036,15,18,21,27,34,1,2,2007/7/4
7037,1,6,7,17,31,11,12,2007/7/5
7038,6,21,25,27,32,8,9,2007/7/6
7039,10,11,20,21,35,7,11,2007/7/7
7040,5,21,25,28,35,1,4,2007/7/8
7041,3,16,17,22,35,1,8,2007/7/9
7042,7,10,22,31,35,5,6,2007/7/10
7043,4,9,22,24,31,2,6,2007/7/11
7044,4,5,7,12,26,1,10,2007/7/12
7045,9,16,20,26,35,11,12,2007/7/13
7046,4,16,18,23,30,1,10,2007/7/14
7047,1,6,15,19,35,2,9,2007/7/15
7048,8,25,26,29,35,6,8,2007/7/16
7049,9,10,15,17,32,4,6,2007/7/17
7050,13,21,22,30,35,1,11,2007/7/18
7051,3,7,24,28,35,8,11,2007/7/19
7052,1,14,29,32,33,5,10,2007/7/20
7053,11,16,19,21,25,1,10,2007/7/21
7054,4,10,19,29,34,3,6,2007/7/22
7055,10,16,24,31,33,7,10,2007/7/23
7056,4,11,17,20,21,5,9,2007/7/24
7057,14,16,30,32,35,6,7,2007/7/25
7058,8,21,25,28,33,2,6,2007/7/26
7059,4,15,23,31,33,3,9,2007/7/27
7060,12,13,29,30,31,4,7,2007/7/28
7061,2,10,19,28,29,2,9,2007/7/29
7062,1,4,10,14,29,11,12,2007/7/30
7063,10,31,33,34,35,7,12,2007/7/31
7064,2,16,32,33,35,5,10,2007/8/1
7065,19,20,24,29,31,9,10,2007/8/2
